	Ichthyomyzon_bdellium,Ichthyomyzon_castaneus,Ichthyomyzon_gagei,Ichthyomyzon_greeleyi,Lampetra_aepyptera,Lampetra_appendix,Acipenser_brevirostrum,Acipenser_fulvescens,Acipenser_oxyrinchus_desotoi,Acipenser_oxyrinchus_oxyrinchus,Polyodon_spathula,Lepisosteus_oculatus,Lepisosteus_osseus,Lepisosteus_platyrhincus,Amia_calva,Hiodon_tergisus,Anguilla_rostrata,Alosa_alabamae,Alosa_chrysochloris,Alosa_mediocris,Alosa_sapidissima,Brevoortia_smithi,Brevoortia_tyrannus,Dorosoma_cepedianum,Dorosoma_petenense,Clinostomus_funduloides,Cyprinella_caerulea,Cyprinella_callisema,Cyprinella_callistia,Cyprinella_callitaenia,Cyprinella_galactura,Cyprinella_gibbsi,Cyprinella_leedsi,Cyprinella_lutrensis,Cyprinella_nivea,Cyprinella_pyrrhomelas,Cyprinella_spiloptera,Cyprinella_trichroistia,Cyprinella_venusta,Cyprinella_whipplei,Cyprinella_xaenura,Erimonax_monachus,Erimystax_insignis,Hemitremia_flammea,Hybognathus_regius,Hybopsis_amblops,Hybopsis_lineapunctata,Hybopsis_rubrifrons,Hybopsis_sc_winchelli,Hybopsis_winchelli,Luxilus_chrysocephalus,Luxilus_coccogenis,Luxilus_zonistius,Lythrurus_atrapiculus,Lythrurus_bellus,Lythrurus_fasciolaris,Lythrurus_lirus,Macrhybopsis_storeriana,Nocomis_leptocephalus,Nocomis_micropogon,Notemigonus_crysoleucas,Notropis_altipinnis,Notropis_amplamala,Notropis_ariommus,Notropis_asperifrons,Notropis_atherinoides,Notropis_baileyi,Notropis_chalybaeus,Notropis_chrosomus,Notropis_harperi,Notropis_hudsonius,Notropis_longirostris,Notropis_sc_longirostris,Notropis_lutipinnis,Notropis_maculatus,Notropis_photogenis,Notropis_scepticus,Notropis_spectrunculus,Notropis_stilbius,Notropis_telescopus,Notropis_texanus,Notropis_volucellus,Notropis_xaenocephalus,Opsopoeodus_emiliae,Phenacobius_catostomus,Phenacobius_crassilabrum,Phenacobius_uranops,Phoxinus_tennesseensis,Pimephales_notatus,Pimephales_vigilax,Pteronotropis_euryzonus,Pteronotropis_grandipinnis,Pteronotropis_sc_hypselopterus,Pteronotropis_stonei,Pteronotropis_welaka,Rhinichthys_cataractae,Rhinichthys_obtusus,Tanichthys_albonubes,Catostomus_commersoni,Erimyzon_oblongus,Erimyzon_sucetta,Hypentelium_etowanum,Hypentelium_nigricans,Ictiobus_bubalus,Ictiobus_niger,Minytrema_melanops,Moxostoma_anisurum,Moxostoma_carinatum,Moxostoma_collapsum,Moxostoma_duquesnei,Moxostoma_erythrurum,Moxostoma_lacerum,Moxostoma_lachneri,Moxostoma_poecilurum,Moxostoma_robustum,Moxostoma_rupiscartes,Moxostoma_sc_lachneri,Moxostoma_spA,Moxostoma_spB,Ameiurus_brunneus,Ameiurus_catus,Ameiurus_natalis,Ameiurus_nebulosus,Ameiurus_serracanthus,Ictalurus_furcatus,Ictalurus_punctatus,Noturus_eleutherus,Noturus_flavipinnis,Noturus_funebris,Noturus_gyrinus,Noturus_insignis,Noturus_leptacanthus,Noturus_sc_munitus,Pylodictis_olivaris,Esox_americanus,Esox_lucius,Esox_masquinongy,Esox_niger,Umbra_pygmaea,Oncorhynchus_mykiss,Salmo_trutta,Salvelinus_fontinalis,Aphredoderus_sayanus,Chologaster_cornuta,Typhlichthys_subterraneus,Labidesthes_sicculus,Fundulus_bifax,Fundulus_catenatus,Fundulus_chrysotus,Fundulus_cingulatus,Fundulus_diaphanus,Fundulus_heteroclitus,Fundulus_luciae,Fundulus_majalis,Fundulus_olivaceus,Fundulus_rubrifrons,Fundulus_stellifer,Leptolucania_ommata,Lucania_goodei,Lucania_parva,Heterandria_formosa,Poecilia_latipinna,Cyprinodon_variegatus,Cottus_tallapoosae,Centropomus_undecimalis,Morone_americana,Morone_chrysops,Morone_mississippiensis,Morone_saxatilis,Acantharchus_pomotis,Ambloplites_ariommus,Ambloplites_rupestris,Centrarchus_macropterus,Enneacanthus_chaetodon,Enneacanthus_gloriosus,Enneacanthus_obesus,Lepomis_auritus,Lepomis_cyanellus,Lepomis_gibbosus,Lepomis_gulosus,Lepomis_humilis,Lepomis_macrochirus,Lepomis_microlophus,Lepomis_punctatus,Micropterus_cataractae,Micropterus_notius,Micropterus_salmoides,Micropterus_sc_coosaeA,Micropterus_sc_coosaeB,Micropterus_sc_coosaeC,Pomoxis_annularis,Pomoxis_nigromaculatus,Etheostoma_blennioides,Etheostoma_caeruleum,Etheostoma_chlorobranchium,Etheostoma_chuckwachatte,Etheostoma_cinereum,Etheostoma_coosae,Etheostoma_ditrema,Etheostoma_edwini,Etheostoma_etowahae,Etheostoma_fricksium,Etheostoma_fusiforme,Etheostoma_gutselli,Etheostoma_hopkinsi,Etheostoma_inscriptum,Etheostoma_jessiae,Etheostoma_jordani,Etheostoma_olmstedi,Etheostoma_parvipinne,Etheostoma_rufilineatum,Etheostoma_rupestre,Etheostoma_scotti,Etheostoma_serrifer,Etheostoma_sc_brevirostrum,Etheostoma_sc_rufilineatum,Etheostoma_stigmaeum,Etheostoma_swaini,Etheostoma_tallapoosae,Etheostoma_trisella,Etheostoma_vulneratum,Etheostoma_zonale,Etheostoma_zonifer,Perca_flavescens,Percina_antesella,Percina_aurantiaca,Percina_aurolineata,Percina_caprodes,Percina_crypta,Percina_evides,Percina_jenkinsi,Percina_kathae,Percina_kusha,Percina_lenticula,Percina_palmaris,Percina_sciera,Percina_shumardi,Percina_smithvanizi,Percina_squamata,Percina_tanasi,Sander_canadensis,Sander_vitreus,Aplodinotus_grunniens,Elassoma_evergladei,Elassoma_gilberti,Elassoma_okatie,Elassoma_okefenokee,Elassoma_zonatum
Suwannee,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Saint_Marys,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Satilla,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Up_Ocmulgee,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Low_Ocmulgee,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Up_Oconee,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Low_Oconee,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Altamaha,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Up_Ogeechee,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Low_Ogeechee,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Up_Savannah,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Low_Savannah,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
